Tempo,Preco_Media
2004-06-01,2.03
2004-12-01,2.18
2005-06-01,2.3
2005-12-01,2.43
2006-06-01,2.59
2006-12-01,2.59
2007-06-01,2.56
2007-12-01,2.53
2008-06-01,2.54
2008-12-01,2.55
2009-06-01,2.54
2009-12-01,2.55
2010-06-01,2.6
2010-12-01,2.6
2011-06-01,2.75
2011-12-01,2.77
2012-06-01,2.77
2012-12-01,2.76
2013-06-01,2.88
2013-12-01,2.89
2014-06-01,3.0
2014-12-01,3.01
2015-06-01,3.29
2015-12-01,3.45
2016-06-01,3.74
2016-12-01,3.71
2017-06-01,3.72
2017-12-01,3.86
2018-06-01,4.31
2018-12-01,4.58
2019-06-01,4.41
2019-12-01,4.43
2020-06-01,4.28
2020-12-01,4.28
2021-06-01,5.35
2021-12-01,6.27
