Tempo,Preco_Media,Preco_Atualizado
2004-06-01,2.03,5.66
2004-12-01,2.18,5.85
2005-06-01,2.3,5.93
2005-12-01,2.43,6.14
2006-06-01,2.59,6.41
2006-12-01,2.59,6.35
2007-06-01,2.56,6.14
2007-12-01,2.53,5.96
2008-06-01,2.54,5.77
2008-12-01,2.55,5.64
2009-06-01,2.54,5.48
2009-12-01,2.55,5.41
2010-06-01,2.6,5.33
2010-12-01,2.6,5.23
2011-06-01,2.75,5.30
2011-12-01,2.77,5.22
2012-06-01,2.77,5.08
2012-12-01,2.76,4.93
2013-06-01,2.88,4.96
2013-12-01,2.89,4.88
2014-06-01,3.0,4.86
2014-12-01,3.01,4.77
2015-06-01,3.29,4.91
2015-12-01,3.45,4.95
2016-06-01,3.74,5.11
2016-12-01,3.71,4.97
2017-06-01,3.72,4.90
2017-12-01,3.86,5.03
2018-06-01,4.31,5.52
2018-12-01,4.58,5.74
2019-06-01,4.41,5.40
2019-12-01,4.43,5.38
2020-06-01,4.28,5.14
2020-12-01,4.28,4.98
2021-06-01,5.35,5.95
2021-12-01,6.27,6.59
