Estado_Sigla,Preco_01,Preco_02,Preco_Media
AC,6.76,6.76,6.76
AL,6.37,6.37,6.37
AM,6.3,6.3,6.3
AP,5.47,5.47,5.47
BA,6.4,6.4,6.4
CE,6.36,6.36,6.36
DF,6.58,6.58,6.58
ES,6.4,6.4,6.4
GO,6.64,6.64,6.64
MA,6.15,6.15,6.15
MG,6.59,6.59,6.59
MS,6.25,6.25,6.25
MT,6.32,6.32,6.32
PA,6.45,6.45,6.45
PB,6.12,6.12,6.12
PE,6.27,6.27,6.27
PI,6.7,6.7,6.7
PR,6.07,6.07,6.07
RJ,6.84,6.84,6.84
RN,6.62,6.62,6.62
RO,6.3,6.3,6.3
RR,5.94,5.94,5.94
RS,6.55,6.55,6.55
SC,6.07,6.07,6.07
SE,6.36,6.36,6.36
SP,5.95,5.95,5.95
TO,6.48,6.48,6.48
Total,6.27,6.27,6.27
